Provinsi,Kabupaten,Nama,Alamat,logo,url ,video,Sekolah ,Longitude,Latitude 
Jawa Tengah ,Karanganyar,Juliyatmono,"Komplek Perkantoran Cangaan, Jl. Lawu No. 385B, Badran Asri, Cangakan, Kec. Karanganyar, Kabupaten Karanganyar, Jawa Tengah 57712",karanganyar.png,https://www.karanganyarkab.go.id/,"<iframe width=""280"" height=""180"" src=""https://www.youtube.com/embed/nN8i_YCv1cQ"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",500,110.9396403,-7.5957403
Jawa Tengah ,Kebumen,Arif Sugiyanto,"Jl. Veteran No.2, Kebumen, Bumirejo, Kec. Kebumen, Kabupaten Kebumen, Jawa Tengah 54311",kebumen.png,https://www.kebumenkab.go.id/,"<iframe width=""280"" height=""180"" src=""https://www.youtube.com/embed/yKt0xrkgOqg"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",792,109.6536997,-7.6687641
Jawa Tengah ,Kendal,Dico Ganinduto,"Jl. Raya Soekarno-Hatta No.193, Karanggeneng, Pegulon, Kec. Kendal, Kabupaten Kendal, Jawa Tengah 51313",kendal.png,https://www.kendalkab.go.id/,"<iframe width=""280"" height=""180"" src=""https://www.youtube.com/embed/eSlhYtpMb_Q"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",574,110.2035929,-6.9231013
Jawa Tengah ,Klaten,Sri Mulyani,"Jl. Pemuda No.294, Dusun 1, Kabupaten, Kec. Klaten Sel., Kabupaten Klaten, Jawa Tengah 57413",klaten.png,https://klatenkab.go.id/,"<iframe width=""280"" height=""180"" src=""https://www.youtube.com/embed/RHTUHYgXLdM"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",782,110.5921913,-7.7127812
Jawa Tengah ,Kota Magelang,Muhammad Nur Aziz,"Jl. Jend. Sarwo Edhie Wibowo No.2, Tenjosari, Banyurojo, Kec. Mertoyudan, Magelang, Jawa Tengah 56172",kotamagelang.png,http://www.magelangkota.go.id/,"<iframe width=""280"" height=""180"" src=""https://www.youtube.com/embed/WUUh2UY6zqg"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",76,110.2215934,-7.5038423
Jawa Tengah ,Kota Pekalongan,Achmad Afzan Arsalan Djunaid ,"Jl. Mataram No.1, Podosugih, Kec. Pekalongan Bar., Kota Pekalongan, Jawa Tengah 51111",kotapekalongan.png,https://pekalongankota.go.id/,"<iframe width=""280"" height=""180"" src=""https://www.youtube.com/embed/fpIshMt4RYo"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",102,109.6620809,-6.8971947
Jawa Tengah ,Kota Semarang,Hendrar Prihadi,"Sekayu, Central Semarang, Semarang City, Central Java 50132",kotasemarang.png,https://semarangkota.go.id/,"<iframe width=""280"" height=""180"" src=""https://www.youtube.com/embed/j0l34hyldcY"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",499,110.412663,-6.9814811
Jawa Tengah ,Kota Tegal,Dedy Yon Supriyono,"Jl. Ki.Gede Sebayu No.12, Pesurungan Lor, Kec. Margadana, Kota Tegal, Jawa Tengah 52147",kotategal.png,https://www.tegalkota.go.id/,"<iframe width=""280"" height=""180"" src=""https://www.youtube.com/embed/gn8_FYUUzAM"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",701,109.1374483,-6.8706857
Jawa Tengah ,Kudus,Hartopo,"Jl. Simpang Tujuh No.1, Kudus, Demaan, Kec. Kota Kudus, Kabupaten Kudus, Jawa Tengah 59313",kudus.png,https://www.kuduskab.go.id/,"<iframe width=""280"" height=""180"" src=""https://www.youtube.com/embed/woGfDREBIL8"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",441,110.8421524,-6.8059287
Jawa Tengah ,Magelang,Zaenal Arifin,"Jl. Soekarno Hatta No.59, Patran, Sawitan, Mungkid, Magelang, Jawa Tengah 56511",magelang.png,https://www.magelangkab.go.id/,"<iframe width=""280"" height=""180"" src=""https://www.youtube.com/embed/9V6sOR-rSAE"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",603,110.2194243,-7.5925942
Jawa Tengah ,Pati,Haryanto,"Jl. Tombronegoro No.1, Kaborongan, Pati Lor, Kec. Pati, Kabupaten Pati, Jawa Tengah 59111",pati.png,https://www.patikab.go.id/,"<iframe width=""280"" height=""180"" src=""https://www.youtube.com/embed/vtt-6dgwfBg"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",680,111.0399396,-6.7525754
Jawa Tengah ,Pekalongan,Fardia Arafiq,"Nyamok, Tanjungsari, Kajen, Pekalongan, Central Java 51161",pekalongan.png,https://www.pekalongankab.go.id/,"<iframe width=""280"" height=""180"" src=""https://www.youtube.com/embed/ZCfXUtHYbQ4"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",515,109.5911522,-7.0250955
